iter	Passed	Remaining
616	1237	767
617	1238	765
618	1239	763
619	1241	761
620	1244	759
621	1246	757
622	1250	756
623	1251	754
624	1253	751
625	1255	749
626	1257	747
627	1258	745
628	1260	743
629	1261	740
630	1264	739
631	1267	737
632	1268	735
633	1270	733
634	1272	731
635	1273	728
636	1274	726
637	1275	723
638	1278	722
639	1280	720
640	1282	718
641	1284	716
642	1285	713
643	1287	711
644	1288	709
645	1290	707
646	1291	704
647	1295	703
648	1297	701
649	1298	699
650	1300	697
651	1301	694
652	1302	692
653	1304	690
654	1306	688
655	1310	687
656	1312	685
657	1314	683
658	1316	681
659	1318	678
660	1319	676
661	1321	674
662	1325	673
663	1327	671
664	1328	669
665	1329	666
666	1331	664
667	1332	662
668	1334	660
669	1335	657
670	1339	656
671	1341	654
672	1343	652
673	1344	650
674	1346	648
675	1347	645
676	1349	643
677	1350	641
678	1353	639
679	1355	637
680	1356	635
681	1357	633
682	1359	630
683	1360	628
684	1361	626
685	1363	623
686	1364	621
687	1366	619
688	1368	617
689	1370	615
690	1371	613
691	1373	611
692	1375	609
693	1376	606
694	1378	604
695	1379	602
696	1380	600
697	1383	598
698	1384	596
699	1386	594
700	1387	591
701	1388	589
702	1390	587
703	1391	585
704	1393	582
705	1394	580
706	1395	578
707	1398	576
708	1400	574
709	1401	572
710	1403	570
711	1404	568
712	1406	566
713	1408	564
714	1409	561
715	1410	559
716	1413	557
717	1415	555
718	1416	553
719	1417	551
720	1419	549
721	1420	547
722	1421	544
723	1423	542
724	1424	540
725	1425	538
726	1428	536
727	1429	534
728	1430	531
729	1432	529
730	1433	527
731	1435	525
732	1437	523
733	1438	521
734	1440	519
735	1445	518
736	1446	516
737	1448	514
738	1450	512
739	1452	510
740	1454	508
741	1457	506
742	1459	504
743	1460	502
744	1462	500
745	1464	498
746	1466	496
747	1468	494
748	1470	492
749	1473	491
750	1474	488
751	1475	486
752	1477	484
753	1479	482
754	1482	481
755	1484	479
756	1485	476
757	1488	475
758	1490	473
759	1492	471
760	1493	469
761	1495	467
762	1496	464
763	1497	462
764	1499	460
765	1500	458
766	1503	456
767	1504	454
768	1506	452
769	1508	450
770	1509	448
771	1511	446
772	1512	444
773	1514	442
774	1515	439
775	1518	438
776	1520	436
777	1521	434
778	1523	432
779	1524	430
780	1526	427
781	1527	425
782	1528	423
783	1530	421
784	1533	420
785	1535	417
786	1536	415
787	1537	413
788	1539	411
789	1540	409
790	1541	407
791	1543	405
792	1544	403
793	1546	401
794	1550	399
795	1552	397
796	1553	395
797	1554	393
798	1556	391
799	1557	389
800	1558	387
801	1560	385
802	1563	383
803	1565	381
804	1566	379
805	1569	377
806	1571	375
807	1572	373
808	1573	371
809	1577	370
810	1579	368
811	1581	366
812	1583	364
813	1585	362
814	1586	360
815	1589	358
816	1594	357
817	1596	355
818	1598	353
819	1600	351
820	1601	349
821	1603	347
822	1605	345
823	1608	343
824	1610	341
825	1613	339
826	1615	337
827	1616	335
828	1618	333
829	1620	331
830	1624	330
831	1626	328
832	1628	326
833	1632	324
834	1633	322
835	1634	320
836	1639	319
837	1641	317
838	1644	315
839	1646	313
840	1648	311
841	1650	309
842	1654	308
843	1656	306
844	1659	304
845	1661	302
846	1662	300
847	1663	298
848	1665	296
849	1670	294
850	1673	292
851	1676	291
852	1679	289
853	1680	287
854	1683	285
855	1686	283
856	1687	281
857	1688	279
858	1690	277
859	1691	275
860	1693	273
861	1697	271
862	1700	269
863	1701	267
864	1703	265
865	1705	263
866	1706	261
867	1708	259
868	1712	258
869	1715	256
870	1718	254
871	1720	252
872	1721	250
873	1722	248
874	1725	246
875	1729	244
876	1732	242
877	1733	240
878	1735	238
879	1736	236
880	1738	234
881	1742	233
882	1744	231
883	1746	229
884	1747	227
885	1749	225
886	1750	223
887	1756	221
888	1758	219
889	1761	217
890	1762	215
891	1764	213
892	1765	211
893	1768	209
894	1772	207
895	1775	206
896	1777	204
897	1778	202
898	1780	200
899	1782	198
900	1784	196
901	1787	194
902	1789	192
903	1791	190
904	1792	188
905	1795	186
906	1799	184
907	1801	182
908	1803	180
909	1805	178
910	1807	176
911	1809	174
912	1814	172
913	1816	170
914	1819	168
915	1820	166
916	1822	164
917	1828	163
918	1831	161
919	1833	159
920	1835	157
921	1836	155
922	1841	153
923	1843	151
924	1845	149
925	1848	147
926	1850	145
927	1852	143
928	1857	141
929	1861	140
930	1862	138
931	1864	136
932	1865	133
933	1867	131
934	1872	130
935	1874	128
936	1877	126
937	1879	124
938	1880	122
939	1882	120
940	1884	118
941	1887	116
942	1889	114
943	1891	112
944	1894	110
945	1895	108
946	1897	106
947	1902	104
948	1904	102
949	1906	100
950	1909	98
951	1911	96
952	1913	94
953	1920	92
954	1922	90
955	1924	88
956	1925	86
957	1928	84
958	1932	82
959	1935	80
960	1938	78
961	1940	76
962	1942	74
963	1946	72
964	1948	70
965	1950	68
966	1953	66
967	1955	64
968	1956	62
969	1962	60
970	1963	58
971	1967	56
972	1969	54
973	1970	52
974	1971	50
975	1973	48
976	1977	46
977	1981	44
978	1983	42
979	1985	40
980	1987	38
981	1992	36
982	1996	34
983	1998	32
984	1999	30
985	2001	28
986	2003	26
987	2005	24
988	2010	22
989	2012	20
990	2015	18
991	2017	16
992	2018	14
993	2023	12
994	2025	10
995	2028	8
996	2030	6
997	2031	4
998	2033	2
999	2038	0
